COUNTYFIPS,STATE,COUNTY,REGION,ACS_TOT_POP_POV_sum,ACS_AVG_HH_SIZE_avg,ACS_PCT_DISABLE_avg,ACS_PCT_ENGL_NOT_ALL_avg,ACS_PCT_AGE_ABOVE65_avg,ACS_PCT_HH_INTERNET_avg,ACS_PCT_CHILD_1FAM_avg,ACS_MEDIAN_HH_INC_sum,ACS_PCT_HH_INC_10000_avg,ACS_PCT_POV_ASIAN_avg,ACS_PCT_POV_BLACK_avg,ACS_PCT_POV_HISPANIC_avg,ACS_PCT_POV_WHITE_avg,ACS_PCT_HH_FOOD_STMP_avg,ACS_PCT_HH_FOOD_STMP_BLW_POV_avg,ACS_PCT_LT_HS_avg,ACS_PCT_HH_ALONE_ABOVE65_avg,ACS_PCT_HU_COAL_avg,ACS_PCT_HU_MOBILE_HOME_avg,ACS_PCT_OWNER_HU_COST_30PCT_avg,ACS_PCT_RENTER_HU_COST_30PCT_avg,ACS_PCT_RENTER_HU_COST_50PCT_avg,ACS_PCT_RENTER_HU_avg,ACS_PCT_COMMT_60MINUP_avg,ACS_PCT_HU_NO_VEH_avg,ACS_PCT_PUBL_TRANSIT_avg,ACS_PCT_MEDICAID_ANY_avg,ACS_PCT_MEDICARE_ONLY_avg,ACS_PCT_PRIVATE_ANY_avg,ACS_PCT_PUBLIC_ONLY_avg,ACS_PCT_UNINSURED_avg,ACS_PCT_UNINSURED_BELOW64_avg,CEN_AREALAND_SQM_TRACT_avg,CEN_POPDENSITY_TRACT_avg,WUSTL_AVG_PM25_avg,POS_DIST_ED_TRACT_avg,POS_DIST_MEDSURG_ICU_TRACT_avg,POS_DIST_TRAUMA_TRACT_avg,POS_DIST_CLINIC_TRACT_avg
01017,Alabama,Chambers County,South,32875,2.222222,18.777777,0,20.333333,73.666666,42.111111,381964,5.777777,3.888888,15.222222,23.666666,11.666666,16,8.666666,18,11.777777,0,13.555555,17.777777,31.666666,12,31.666666,6.222222,7.222222,0.333333,19.888888,7.666666,56.111111,28.555555,9.222222,11.333333,66.333333,273.333333,7,6.333333,7.555555,31.888888,4
01027,Alabama,Clay County,South,13002,2.5,18.5,0,21,70.75,27.25,172853,7.75,0,29.25,16.5,12.75,11,8,20,12.25,0.25,24,14.25,29.5,5.75,22.25,12.5,5.5,0,19,6.25,54.5,26.5,9,11.5,151,24.5,7,6.75,6.75,24.75,5.25
01065,Alabama,Hale County,South,14512,2.714285,25.142857,0,19.428571,61.571428,42.714285,235565,15.142857,0,29.428571,0,14.857142,25.714285,17.285714,19.857142,18,0,42.285714,23.714285,58.714285,24.142857,22.428571,15.428571,8.857142,0.142857,25,8.285714,47.142857,35.142857,7.714285,8.571428,92,68.714285,6.714285,7.857142,20.714285,31.285714,4.857142
01091,Alabama,Marengo County,South,18882,2.5,25,0,19.25,66.125,44.5,289045,16.5,0,32.25,9.875,7.25,21,14.125,16.625,15.875,0,27.25,22.875,55.125,23.125,29.625,12.25,9.875,0,23,9.375,52,34.125,8.5,10.25,122,90.5,6.625,9.5,13.875,27.625,2.5
02013,Alaska,Aleutians East Borough,West,3379,2,11,2,11,58,55,75833,3,6,7,11,8,10,5,13,11,0,6,11,33,21,39,0,22,0,13,4,40,19,40,44,6985,0,0,361,487,429,55
02070,Alaska,Dillingham Census Area,West,4884,3.5,12,0,11.5,73,43.5,119360,5,0,0,8.5,6.5,29.5,11,13,7,0,1.5,23,35.5,11.5,39.5,0.5,39.5,0,39,3.5,35,43.5,18.5,20.5,9167,6.5,0,9.5,248,156,9.5
02164,Alaska,Lake and Peninsula Borough,West,1144,3,16,0,11,69,40,48750,4,0,0,0,5,27,8,12,8,0,1,16,14,5,36,3,48,0,31,4,35,37,26,28,23832,0,0,87,153,153,25
02188,Alaska,Northwest Arctic Borough,West,7645,4,9,0,7.5,78,48.5,134625,7,14,3,0,1.5,35,14.5,15,4,0,2,16,26,10,42.5,0.5,66,1.5,38,2,32,41,23.5,25.5,17831.5,6.5,0,19.5,196.5,410.5,129.5
01009,Alabama,Blount County,South,57127,2.6875,15,0.3125,18.5,80.1875,26.0625,803552,9.875,0.5625,23.1875,29.375,12.75,10.375,6.9375,17.75,12.125,0,25.5,15.1875,47.875,23.5625,24.0625,18.375,5.375,0.125,13.6875,9.3125,58.4375,24.875,10.6875,13.1875,40.3125,112.1875,7,9.625,9.75,27.25,4.125
01019,Alabama,Cherokee County,South,25680,2.5,16,0.25,22.625,76,20.125,353890,6.75,25,10.625,15.875,12.25,13.125,7,16.25,13.125,0,25.375,16.125,38,12.25,21.625,10.5,2.875,0.125,14.625,9.375,59.25,25.25,10,12.875,69.125,64,7,7.375,7.375,21.25,6.125
